code,statLevel,displayLevel,hp,atk,gold,exp,bp,drops,actions
boss_0,350,300,6390,506,890,101136,3,w:1:0.6|r:stat_boost_atk:1:0.2,r:0
boss_1,1000,800,24750,1529,1746,1393590,5,r:stat_boost_atk:2:0.18|r:stat_boost_def:2:0.18,r:0
boss_2,3500,3333,129904,5867,4344,27120051,5,r:dmg_boost_boss:0:0.17|r:dmg_boost_normal:0:0.17,r:0
boss_3,6000,5000,287854,10844,6558,88935346,7,r:gold_boost:1:0.2|r:restart_with_gold:0:0.03,r:0
boss_4,23000,20000,1656754,47364,18754,1252094286,5,w:12:0.15|a:7:0.15|r:dmg_boost_any:0:0.08,r:1
boss_5,35000,30000,3243454,78054,26146,2620236722,5,r:crit_first_n:0:0.1|r:chain_first:0:0.1,r:1
boss_6,55000,50000,6829954,135254,37430,5599034159,10,w:16:0.1|r:reflect:1:0.12|r:execute:0:0.05,r:1
boss_7,70000,60000,11100454,186404,45344,8294537193,3,w:19:0.09|r:stat_boost_luc:4:0.05,r:2
boss_8,80000,70000,14583454,226004,50430,10279867774,3,a:12:0.09|r:stat_boost_hp:4:0.05,r:2
boss_9,90000,80000,18543454,270004,55388,12402334244,3,a:13:0.08|r:stat_boost_def:4:0.05,r:2
boss_10,100000,90000,22980454,319504,60240,14652826955,3,w:20:0.07|r:stat_boost_atk:4:0.05,r:2
boss_11,120000,100000,31854454,418504,69660,19508747267,10,w:21:0.05|a:14:0.05|r:stat_point_boost:0:0.1|r:stat_point_boost:1:0.01,r:3
