code,statLevel,displayLevel,hp,atk,def,gold,exp,bp,drops,actions
boss_0,350,300,6390,506,506,890,95381,3,w:1:0.6|r:stat_boost_atk:1:0.4,r:0
boss_1,1000,800,24750,1529,1529,1746,1300574,5,r:stat_boost_atk:2:0.3|r:stat_boost_def:2:0.3,r:0
boss_2,3500,3333,129904,5867,5867,4344,24994809,5,r:dmg_boost_boss:0:0.25|r:dmg_boost_normal:0:0.25,r:0
boss_3,6000,5000,287854,10844,10844,6558,81525390,7,r:gold_boost:1:0.3|r:restart_with_gold:0:0.06,r:0
boss_4,23000,20000,1656754,47199,47199,18754,1132451875,5,w:12:0.2|a:7:0.2|r:dmg_boost_any:0:0.18,r:1
boss_5,35000,30000,3243454,76679,76679,26146,2359933952,5,r:crit_first_n:0:0.16|r:chain_first:0:0.16,r:1
boss_6,50000,45000,5565454,115454,115454,34700,4292736784,7,w:16:0.15|r:reflect:1:0.12|r:execute:0:0.05,r:1
boss_7,70000,60000,10740454,177054,177054,45344,7418928379,1,w:19:0.13|r:stat_boost_luc:4:0.1,r:2
boss_8,80000,70000,14043454,211154,211154,50430,9182408907,1,a:12:0.13|r:stat_boost_hp:4:0.1,r:2
boss_9,100000,90000,21126454,281554,281554,60240,13059345770,1,a:13:0.12|r:stat_boost_def:4:0.1,r:2
boss_10,120000,110000,29163454,359654,359654,69660,17355517590,1,w:20:0.12|r:stat_boost_atk:4:0.1,r:2
boss_11,150000,130000,41934454,485054,485054,83228,82690278088,10,w:21:0.08|a:14:0.08|r:stat_point_boost:0:0.1|r:stat_point_boost:1:0.03,r:3
