level,hp,atk,def,critRes,multiHitRes,gold,exp,bp,drops,actions
1,20,0,0,15,15,125,435,-1,,
30,165,102,37,58,59,195,1335,-1,,
60,315,192,67,103,104,252,2235,-1,,
90,465,282,97,148,149,302,3135,-1,,
120,615,372,127,193,194,350,4035,-1,,
150,765,462,157,238,239,395,4935,-1,,
180,915,552,187,283,284,438,5835,-1,,
210,1065,642,217,328,329,480,7167,-1,,
240,1215,732,247,373,374,520,9015,-1,,
270,1365,822,277,418,419,560,10904,-1,,
300,1515,912,307,463,464,599,19574,-1,,
350,1765,1062,357,538,539,662,21288,-1,,
400,2015,1212,407,613,614,723,24819,-1,,
450,3971,2080,412,688,689,783,28990,-1,,
550,2765,1662,557,838,839,898,34692,-1,,
630,3194,1919,642,967,967,987,59744,-1,,
690,3561,2139,716,1077,1077,1053,232443,-1,,
700,3623,2177,728,1096,1096,1064,238041,-1,,
800,4250,2553,854,1284,1284,1170,296205,-1,,
612,3086,1854,621,934,935,967,190244,-1,,
680,3500,2103,704,1059,1059,1042,226886,-1,,
748,3922,2356,788,1185,1186,1115,265477,-1,,
816,4352,2614,874,1314,1315,1187,305861,-1,,
940,5154,3095,1034,1555,1555,1315,383695,-1,,
1111,6296,3780,1263,1897,1898,1486,498924,-1,,
1333,7831,4702,1570,2358,2359,1700,660324,-1,,
810,4314,2591,866,1303,1303,1181,302229,-1,,
980,5418,3254,1087,1634,1635,1355,409870,-1,,
1150,6562,3940,1316,1977,1978,1524,526364,-1,,
1320,7740,4647,1552,2331,2331,1688,650539,-1,,
1490,8949,5372,1793,2693,2694,1847,781516,-1,,
1660,10186,6114,2041,3064,3065,2003,918614,-1,,
1830,11448,6872,2293,3443,3444,2156,1061289,-1,,
2000,12734,7643,2550,3829,3829,2306,1209099,-1,,
2170,14043,8428,2812,4221,4222,2454,1361670,-1,,
2300,15057,9037,3015,4526,4526,2565,1481359,-1,,
2600,17442,10468,3492,5241,5242,2817,1766841,-1,,
2900,19882,11932,3980,5973,5974,3063,2064272,-1,,
3200,22374,13427,4478,6721,6721,3304,2372635,-1,,
3500,24912,14950,4986,7482,7483,3541,2691095,-1,,
3800,27495,16500,5503,8257,8258,3774,3018953,-1,,
4100,30119,18074,6027,9044,9045,4003,3355615,-1,,
5000,38214,22931,7646,11473,11473,4671,4413618,-1,,
810,4314,2591,866,1303,1303,1181,302229,-1,,
1100,6222,3736,1248,1875,1876,1475,491258,-1,,
1400,8305,4986,1665,2500,2501,1763,711373,-1,,
