level,hp,atk,def,critRes,multiHitRes,gold,exp,bp,drops,actions
1,16,1,0,15,15,123,435,-1,,
30,487,54,37,58,59,165,1335,-1,,
60,974,108,67,103,104,199,2235,-1,,
90,1461,162,97,148,149,229,3135,-1,,
120,1948,216,127,193,194,258,4035,-1,,
150,2436,270,157,238,239,285,4935,-1,,
180,2923,324,187,283,284,311,5835,-1,,
210,3410,378,217,328,329,336,7167,-1,,
240,3897,432,247,373,374,360,9015,-1,,
270,4384,486,277,418,419,384,10904,-1,,
300,4872,540,307,463,464,407,19574,-1,,
350,5922,645,357,538,539,445,21288,-1,,
400,6972,750,407,613,614,482,24819,-1,,
450,8021,855,412,688,689,517,28990,-1,,
550,10122,1065,557,838,839,587,34692,-1,,
630,11802,1233,642,967,967,640,59744,-1,,
690,13062,1359,716,1077,1077,680,232443,-1,,
700,13272,1380,728,1096,1096,686,238041,-1,,
800,15371,1590,854,1284,1284,750,296205,-1,,
612,11424,1195,621,934,935,628,190244,-1,,
680,12852,1338,704,1059,1059,673,226886,-1,,
748,14280,1480,788,1185,1186,717,265477,-1,,
816,15775,1630,874,1314,1315,760,305861,-1,,
940,18900,1940,1034,1555,1555,837,383695,-1,,
1111,23209,2367,1263,1897,1898,939,498924,-1,,
1333,28803,2922,1570,2358,2359,1068,660324,-1,,
810,15623,1615,866,1303,1303,756,302229,-1,,
980,19908,2040,1087,1634,1635,861,409870,-1,,
1150,24192,2465,1316,1977,1978,962,526364,-1,,
1320,28476,2890,1552,2331,2331,1060,650539,-1,,
1490,32759,3315,1793,2693,2694,1156,781516,-1,,
1660,37044,3740,2041,3064,3065,1250,918614,-1,,
1830,41538,4186,2293,3443,3444,1342,1061289,-1,,
2000,47012,4730,2550,3829,3829,1432,1209099,-1,,
2170,52486,5274,2812,4221,4222,1520,1361670,-1,,
2300,56672,5690,3015,4526,4526,1587,1481359,-1,,
2600,66332,6650,3492,5241,5242,1738,1766841,-1,,
2900,75992,7610,3980,5973,5974,1886,2064272,-1,,
3200,85652,8570,4478,6721,6721,2030,2372635,-1,,
3500,95545,9530,4986,7482,7483,2172,2691095,-1,,
3800,105625,10490,5503,8257,8258,2312,3018953,-1,,
4100,115705,11450,6027,9044,9045,2449,3355615,-1,,
