grade,effect_type,value,price
0,stat_boost_hp,500|1300|3000|9000|20000|55000,0|10000|39000
0,stat_boost_atk,500|1300|3000|9000|20000|55000,0|10000|39000
0,stat_boost_def,500|1300|3000|9000|20000|55000,0|10000|39000
0,stat_boost_luc,500|1300|3000|9000|20000|55000,0|10000|39000
0,exp_boost,50|100|150|200,130000|770000
0,gold_boost,30|60|100|150,10000|90000
0,drop_boost,30|60|100|150,10000|90000
0,evade_rate,5|10|20,
0,crit_rate,7|10|13|16,15000|80000
0,crit_dmg,30|60|100|150,22000|130000
0,bp_boost,3|5|7|10,100000|300000
0,speed_boost,30|50|70,3000|55000|130000
0,dmg_boost_boss,18|23|45,
0,dmg_boost_normal,18|23|45,
0,bp_loss_prevent_defeat,10:5|12.5:10|15:20,4000|40000|94000
0,bp_loss_prevent_victory,10:2|12:4|14:6|16:8,40000|200000|800000|1200000
0,decrease_encounter_increment,10|20|30|50,3000|9000|32000|130000
0,stat_boost_per_relic_count,400|900|1600|3000,40000
0,equipment_base_spec_boost,300|500|800|1200,50000|140000
0,fixed_dmg,2000|10000|80000,60000|200000|1000000
0,dmg_boost_any,15|20|40,
1,crit_every_n,7|6|5,
1,fixed_dmg_per_gold,7|10|13|16,35000|99000
1,chain_rate,5|7|10|14,15000|80000
1,execute_low_health,10|15|20,90000|270000
1,dmg_boost_per_defeat,3|4|6|8,99000|299000|999000|2999000
1,evade_first_n,1|2|3,
1,dmg_gradual_increase,20:10|25:15|30:20|35:25,140000
1,dmg_gradual_decrease,30:10|40:10|50:10|60:10,140000
1,dmg_drop_boost_monster_codex,20:50|30:70|40:100|50:150,10000|50000|1300000|300000
1,reduce_dmg_higher_level,6:10|12:15|18:20|24:30,
1,execute_lower_level,10:2|15:3|20:4,
1,stat_boost_atk_per_hp,30|50,
1,heal_every_turn,1500|9000|40000,
1,weak_every_hit,3|5|7|10,
1,dmg_boost_when_low_hp,20:20|30:30|50:50,
1,dmg_boost_weak,20|30|50,
2,crit_first_n,1|2|3|5,
2,chain_first,2|3|4,
2,reflect,10|20|30,
2,execute,0.7|1.0|1.5,
2,drain,2|4|6,
2,dmg_boost_when_full_hp,30|42|60,
2,fixed_dmg_per_hit,20|400|8000,
2,stat_boost_collect_weapon,200|400|1000,38000|660000|990000
2,stat_boost_collect_armor,400|800|2000,38000|660000|990000
2,stat_point_boost,1|2,
3,fixed_dmg_enemy_hp,5|7,
3,dmg_boost_per_kill,0.8|1.2,
3,restart_with_gold,0,
