type,maxLevel,values,prices
territory_level,7,0|1|2|3|4|5|6,0|0|5000|10000|45000|200000|800000|1300000|5000000|10000000
base_hp,10,100|200|600|1200|2200|3600|5600|8000|12000|18000,0|10000|25000|45000|80000|120000|170000|230000|350000|500000
base_atk,10,0|100|300|600|1100|1800|2800|4000|6000|9000,0|10000|25000|45000|80000|120000|170000|230000|350000|500000
base_def,10,0|100|300|600|1100|1800|2800|4000|6000|9000,0|10000|25000|45000|80000|120000|170000|230000|350000|500000
base_luc,10,0|100|300|600|1100|1800|2800|4000|6000|9000,0|20000|50000|90000|160000|240000|340000|460000|700000|1000000
boost_exp,6,0|20|40|80|100|120,0|100000|200000|500000|1000000|3000000
boost_gold,6,0|10|20|30|40|50,0|100000|200000|500000|1000000|3000000
movement_speed,6,0|10|20|30|40|50,0|50000|125000|225000|400000|600000
encounter_rate,4,0|10|20|30,0|100000|250000|450000
instant_encounter,2,0|1,0|200000
max_relic_count,8,1|2|3|4|5|6|7|8,0|5500|48000|250000|2000000|3400000|8000000|13000000
relic_reward_choice_count,3,1|2|3,0|300000|1000000
relic_reward_reroll_count,6,3|4|5|6|7|8,0|10000|90000|200000|500000|1000000
relic_reward_rarity,5,0|1|2|3|4,0|200000|400000|700000|1100000
initial_relic_select,4,-1|0|1|2,0|3500000|5500000|11000000
library_management,6,0|150|300|450|600|800,0|1000000|2000000|3000000|4000000|5000000
