Key,Id,English(en),Korean (South Korea)(ko-KR)
"0",5156372480,"Leather Armor","가죽 갑옷"
"0-description",,"",""
"1",7723286528,"Chain Armor","미늘 갑옷"
"1-description",,"",""
"2",27111438742454272,"Good Armor","약간 좋은 갑옷"
"2-description",,"",""
"3",27111443331022848,"Better Armor","약간 더 좋은 갑옷"
"3-description",,"",""
"4",27111447974117376,"Great Armor","진짜 좋은 갑옷"
"4-description",,"",""
"5",27111451354726400,"Best Armor","완전 좋은 갑옷"
"5-description",,"",""
"6",27971619118383104,"Armor 6","방어구 6"
"6-description",,"",""
"7",27971627150475264,"Armor 7","방어구 7"
"7-description",,"",""
"8",27971646641405952,"Armor 8","방어구 8"
"8-description",,"",""
"9",27971654191153152,"Armor 9","방어구 9"
"9-description",,"",""
"10",27971656607072256,"Armor 10","방어구 10"
"10-description",,"",""
"11",27971662957248512,"Armor 11","방어구 11"
"11-description",,"",""
"12",27971665557716992,"Armor 12","방어구 12"
"12-description",,"",""
"13",27971668246265856,"Armor 13","방어구 13"
"13-description",,"",""
