Key,Id,English(en),Korean (South Korea)(ko-KR)
"initial_cutscene-0",7127695360,"Long ago, a kingdom flourished in peace.","오래전, 한 왕국이 번영을 누리고 있었습니다."
"initial_cutscene-1",92829908992,"But that peace did not last...","하지만 그 평화는 오래가지 않았습니다..."
"initial_cutscene-2",101889605632,"One day, darkness fell—
and with it came the Demon Lord.
The kingdom was plunged into despair.","어느 날, 어둠과 함께 마왕이 나타났고,
왕국은 순식간에 절망에 휩싸였습니다."
"initial_cutscene-3",111125463040,"When all hope seemed lost,
the king summoned one person.","희망이 사라진 그때,
왕이 한 사람을 불렀습니다."
"initial_cutscene-4",121686720512,"“To thee, I bestow the name of Hero.”","""네게 용사의 이름을 수여하노라."""
"initial_cutscene-5",129530068992,"Placing his final hope in a single warrior,
the king sent him forth into the world.","왕은 마지막 희망을 걸고,
단 한 명의 전사를 세상에 내보냈습니다."
"initial_cutscene-6",269967949824,"And now—
the hero's journey begins.","그리고 지금—
그 용사의 여정이 시작됩니다."
"tutorial_script-0",2775847699742720,"0","용사님, 수고 많으십니다!
저는 이번에 안내를 명받은 교관 제임스라고 합니다."
"tutorial_script-1",2775870026022912,"1","마왕을 잡기 위한 용사님의 모험에 필요한 기초 지식을 알려드리겠습니다."
"tutorial_script-2",2775877923897344,"2","우선 이동 방법에 대해서 알려드리겠습니다!
화면의 버튼을 제외한 곳에 터치를 유지하시면 캐릭터가 해당 방향으로 이동합니다."
"tutorial_script-3",2775893728034816,"3","제가 화면에 목적지를 표시해드릴테니, 해당 장소로 이동해보세요."
"tutorial_script-4",2775906629713920,"4","정말 <size=110%>훌륭합니다</size> 용사님!
설정에서 이동 방식을 바꿀 수 있으니 한 번 확인해보세요."
"tutorial_script-5",,"5","다음으로는 몬스터와의 전투에 대해 설명해드리겠습니다!"
"tutorial_script-6",2775914577920000,"6","화면 상단의 게이지 바가 보이시나요?
이 바는 위험도 게이지 라고 하는데, 용사님이 이동하실 때마다 점점 차오릅니다."
"tutorial_script-7",2775930671464448,"7","위험도가 차오르는 양은 몬스터와 용사님의 레벨에 따라 달라지고,
위험도가 높아질수록 몬스터와 마주칠 확률이 높아지게 됩니다."
"tutorial_script-8",2851736588386304,"8","이동을 통해 위험도 게이지를 높여 몬스터와 전투해보세요."
"tutorial_script-9",2851746344337408,"9","정말 <size=110%>훌륭하고, 뛰어나십니다</size> 용사님!
방금 체험하셧듯이, 전투는 자동으로 이뤄집니다.
용사님과 몬스터가 번갈아서 공격합니다."
"tutorial_script-10",2852407261790208,"10","전투에서 승리하면 배틀포인트가 <color=#F13A4E>1</color>만큼 감소하고,
패배하면 배틀포인트가 <color=#F13A4E>3</color>만큼 감소합니다."
"tutorial_script-11",2852408792711168,"11","배틀포인트가 <color=#F13A4E>0</color>이 되면 용사님은 힘이 다해 <u>쓰러지게 됩니다</u>.
30으로 한정된 배틀포인트를 현명하게 사용하는것이 중요하겠네요."
"tutorial_script-12",2852876910592000,"12","전투에서 승리하면 레벨이 오르고, 레벨당 <color=#45b0f7>4</color>의 스탯 포인트를 획득합니다."
"tutorial_script-13",2852884384841728,"13","획득하신 스탯은 메뉴 버튼 좌측의 스탯 버튼을 누르거나, 메뉴를 연 뒤 스탯 메뉴를 열어 투자할 수 있습니다."
"tutorial_script-14",2854499225436160,"14","자동 분배 옵션도 있으니, 스탯창을 열고 획득하신 포인트를 모두 소모해보세요!
처음에는 HP, ATK, DEF를 균형있게 투자하는 걸 추천드립니다."
"tutorial_script-15",2863382492872704,"15","정말 <size=110%>훌륭하고, 뛰어나시고, 대단하십니다</size> 용사님!
스탯 중 LUC(행운) 스탯은 전투에는 직접적으로 관여하지 않지만, 몬스터에게서 더 많은 돈을 얻거나 몬스터의 전리품을 더 높은 확률로 얻게 해준다고 합니다."
"tutorial_script-16",2879520270450688,"16","기본적인 것들은 모두 설명을 드린 것 같습니다 용사님!"
"tutorial_script-17",3133915335753728,"17","용사님의 무운을 빌겠습니다. 부디 마왕을 처치해 주십시오!"
"tutorial_territory-0",29277458202624000,"","영지에 오신 걸 환영합니다 용사님!
이곳은 용사님이 하사받으신 영지입니다."
"tutorial_territory-1",29277588377042944,,"영지에서 여러 상인들에게 가까이 접근하면 말을 거실 수 있어요."
"tutorial_territory-2",29277588788084736,,"저에게 말을 걸어 영지를 업그레이드 해 보세요!
처음에는 무료로 영지를 업그레이드 해 드릴게요."
"tutorial_territory-3",29308654248787968,,"좋아요! 영지를 업그레이드 했더니 장비 상인이 찾아왔네요."
"tutorial_territory-4",29308687186657280,,"영지를 가꾸실 때마다 점점 더 다양한 인물들이 영지에 방문할 거에요.
"
"tutorial_territory-5",29308698968457216,"","다양한 상인들과 대화해 선대 용사님께서 모으신 돈으로 용사님을 단련하거나,
새로운 장비를 구하실 수도 있어요."
"tutorial_territory-6",29309554367397888,,"준비가 끝나시면 모험을 시작해주세요.
단, 가지고 계신 골드가 전부 사라지기 때문에 주의해주세요!"
"tutorial_objective-0",35470494146232320,,"웨이포인트로 이동하기"
"tutorial_objective-1",35470623037194240,,"이동을 통해 위험도 게이지를 증가시켜 몬스터와 전투하기"
"tutorial_objective-2",35470736392454144,,"스탯포인트를 모두 투자하기"
