Key,Id,English(en),Korean (South Korea)(ko-KR)
"start-0_0",5668077568,"Training Dummy","훈련용 더미"
"start-1_0",11988893696,"Chicken","닭"
"start-2_0",15386279936,"White Chicken","흰 닭"
"start-3_0",18947244032,"Brawler Chicken","쌈닭"
"start-4_0",22751477760,"Wild Dog","들개"
"start-5_0",26341801984,"Stained Dog","얼룩 들개"
"start-6_0",30213144576,"Dingo","딩고"
"start-7_0",32947830784,"Wild Dingo","사나운 딩고"
"start-8_0",35900620800,"Green Slime","초록 슬라임"
"start-9_0",38731776000,"Purple Slime","보라 슬라임"
"start-10_0",1062884343808,"Pink Slime","분홍 슬라임"
"forest-0_0",1078034169856,"Yellow Mushromm","노란색 버섯"
"forest-1_0",2849783372316672,"Green Mushroom","초록색 버섯"
"forest-2_0",2849842981765120,"Gray Wolf","회색 늑대"
"forest-2_1",2850049081475072,"Blue Wolf","푸른색 늑대"
"forest-3_0",2850130903957504,"Small Snail","작은 달팽이"
"forest-4_0",2850358088433664,"Ladybug","무당벌레"
"forest-5_0",2850400434126848,"Toad","살모사"
"forest-6_0",2850485066792960,"Wild Snake","야생 뱀"
"forest-7_0",2850508051578880,"Poison Mushroom","독 버섯"
"forest-8_0",2850508051578881,"Deadly Poison Mushroom","맹독 버섯"
"spring-pool-0_0",39090467653550080,"Small Land Spirit","작은 땅의 정령"
"spring-pool-1_0",39090598390005760,"Land Spirit","땅의 정령"
"spring-pool-2_0",39090654069391360,"Large Land Spirit","큰 땅의 정령"
"spring-pool-3_0",39090721740292096,"Guardian of Land","땅의 수호자"
"spring-pool-4_0",39090988854542336,"Brown Dwarf","갈색 난쟁이"
"spring-pool-4_1",39090990775533568,"Gnom","노움"
"spring-pool-5_0",39091146577149952,"Guardian of River","강의 수호자"
"spring-pool-6_0",39091296666124288,"Guardian of Spring Pool","옹달샘의 수호자"
"spring-pool-6_1",39091316496793600,"Spring Pool Spirit","옹달샘의 정령"
"high-mountain-0_0",39091695519268864,"Stone Hog","돌 맷돼지"
"high-mountain-1_0",39092028597338112,"Stone Slime","돌 슬라임"
"high-mountain-2_0",39092093487415296,"Stone Eagle","돌 독수리"
"high-mountain-2_1",39092152841011200,"Tinker Bell","팅커 벨"
"high-mountain-3_0",39092648364474368,"Stone Golem","돌 골렘"
