Key,Id,English(en),Korean (South Korea)(ko-KR)
"stat_boost_hp",,"Gem of HP","체력의 보석"
"stat_boost_hp-description",,"Increase HP stat by {0}","HP 스탯이 {0} 증가한다"
"stat_boost_atk",,"Gem of Attack","공격의 보석"
"stat_boost_atk-description",,"Increase ATK stat by {0}","ATK 스탯이 {0} 증가한다"
"stat_boost_def",,"Gem of Defense","방어의 보석"
"stat_boost_def-description",,"Increase DEF stat by {0}","DEF 스탯이 {0} 증가한다"
"stat_boost_luc",,"Gem of Luck","행운의 보석"
"stat_boost_luc-description",,"Increase LUC stat by {0}","LUC 스탯이 {0} 증가한다"
"exp_boost",,"Book of Experience","경험의 서"
"exp_boost-description",,"Increase exp gain by {0}%","경험치 획득량이 {0}% 증가한다"
"gold_boost",,"Ring of Greed","탐욕의 반지"
"gold_boost-description",,"Increase gold gain by {0}%","골드 획득량이 {0}% 증가한다"
"drop_boost",,"Four-Leaf Clover","네잎클로버"
"drop_boost-description",,"Increase drop rate by {0}%","드랍 확률이 {0}% 증가한다"
"evade_rate",,"Feather of Evasion","회피의 깃털"
"evade_rate-description",,"Increase evade rate by {0}%","회피 확률이 {0}% 증가한다"
"crit_rate",,"Gem of Critical","치명타의 보석"
"crit_rate-description",,"Increase crit rate by {0}%","치명타 확률이 {0}% 증가한다"
"crit_dmg",,"Sharp Blade","날카로운 칼날"
"crit_dmg-description",,"Increase crit damage by {0}%","치명타 피해량이 {0}% 증가한다"
"crit_every_n",,"Gem of Critical Every N","치명타 매 N번째 공격"
"crit_every_n-description",,"Every {0}th attack is guaranteed to be a critical hit","매 {0}번째 공격이 반드시 치명타로 적중한다"
"bp_boost",,"Gem of Battle Point","전투 포인트의 보석"
"bp_boost-description",,"Increase total battle point by {0}","총 배틀포인트가 {0} 증가한다"
"speed_boost",,"Hermes's Shoes","헤르메스의 신발"
"speed_boost-description",,"Increase movement speed by {0}%","이동 속도가 {0}%만큼 증가한다"
"dmg_boost_boss",,"Gem of Boss Damage","보스 대미지의 보석"
"dmg_boost_boss-description",,"Increase damage dealt to bosses by {0}%","보스에게 입히는 피해량이 {0}%만큼 증가한다"
"dmg_boost_normal",,"Gem of Normal Damage","일반 대미지의 보석"
"dmg_boost_normal-description",,"Increase damage dealt to normal enemies by {0}%","일반 적에게 입히는 피해량이 {0}%만큼 증가한다"
"bp_loss_prevent_defeat",,"BP Loss Prevention (Defeat)","전투 포인트 손실 방지 (패배)"
"bp_loss_prevent_defeat-description",,"Prevent loss of battle point on loss by {0}% probability","패배했을 때 전투 포인트 손실을 {0}%의 확률로 방지한다"
"bp_loss_prevent_victory",,"BP Loss Prevention (Victory)","전투 포인트 손실 방지 (승리)"
"bp_loss_prevent_victory-description",,"Prevent loss of battle point on victory by {0}% probability","승리했을 때 전투 포인트 손실을 {0}%의 확률로 방지한다"
"decrease_encounter_increment",,"Repel","몬스터 회피 스프레이"
"decrease_encounter_increment-description",,"Decrease encounter rate by {0}%","위험도 게이지의 증가량이 {0}%만큼 감소한다"
"stat_boost_per_relic_count",,"Gem of Stat Boost per Relic","유물 당 스탯 증가의 보석"
"stat_boost_per_relic_count-description",,"Increase all stats by {0} per each relic","현재 소유중인 유물당 모든 스탯이 {0} 증가한다"
"fixed_dmg_per_gold",,"Money Gun","머니건"
"fixed_dmg_per_gold-description",,"Deal {0} fixed damage per gold","보유 골드의 {0}% 만큼 고정 피해를 가한다"
"equipment_base_spec_boost",,"Gem of Equipment Base Spec Boost","장비 기본 스펙 증가의 보석"
"equipment_base_spec_boost-description",,"Increase base spec of equipment by {0}%","장비의 기본 스펙이 {0}%만큼 증가한다"
"fixed_dmg",,"Gem of Fixed Damage","고정 피해의 보석"
"fixed_dmg-description",,"Deal {0} fixed damage","{0} 고정 피해를 가한다"
"chain_rate",,"Chain of Thunder","번개의 연쇄"
"chain_rate-description",,"Increase chain rate by {0}%","연쇄 확률이 {0}% 증가한다"
"execute_low_health",,"Blood Dagger","피의 단검"
"execute_low_health-description",,"Execute enemy when HP is below {0}%","체력이 {0}% 이하인 적을 처형한다"
