Key,Id,English(en),Korean (South Korea)(ko-KR)
"BaseHP",18720751616,"Enhance base HP","기초 HP 강화"
"BaseHP-description",,"Increase base HP","기초 HP 증가"
"BaseATK",44100485120,"Enhance base ATK","기초 ATK 강화"
"BaseATK-description",,"Increase base ATK","기초 ATK 증가"
"BaseDEF",61028696064,"Enhance base DEF","기초 DEF 강화"
"BaseDEF-description",,"Increase base DEF","기초 DEF 증가"
"BaseLUC",73250897920,"Enhance base LUC","기초 LUC 강화"
"BaseLUC-description",,"Increase base LUC","기초 LUC 증가"
"BoostExp",93421305856,"Increase EXP gain","경험치 획득량 증가"
"BoostExp-description",,"Increase EXP gain","경험치 획득량 증가"
"BoostGold",10255981826539520,"Increase gold gain","골드 획득량 증가"
"BoostGold-description",,"Increase gold gain","골드 획득량 증가"
"MaxRelicCount",127592300544,"Increase relic slot","유물 슬롯 증가"
"MaxRelicCount-description",4703584144326656,"Increase the maximum number of artifacts you can own","소유할 수 있는 유물의 최대 개수가 증가합니다"
"MovementSpeed",1234260846968832,"Increase movement speed","이동 속도 증가"
"MovementSpeed-description",4703584228212736,"Increase movement speed of the player","플레이어의 이동 속도가 증가합니다"
"EncounterRate",1234390711009280,"Decrease encounter rate","조우 확률 감소"
"EncounterRate-description",4703584228212737,"Encounter gauge increases more slowly in the field","필드에서 위험도가 더 천천히 증가합니다"
"RelicRewardChoiceCount",1234472864841728,"Increase choices","선택지 증가"
"RelicRewardChoiceCount-description",4703584228212738,"Increase number of the relic reward choices","유물 보상 선택지의 수가 증가합니다"
"RelicRewardRerollCount",1234563612803072,"Increase reroll chances","리롤 횟수 증가"
"RelicRewardRerollCount-description",4703584228212739,"Increase number of the relic reward reroll count","유물 보상을 새로 고침 할 수 있는 횟수가 증가합니다"
"RelicRewardRarity",1234657460355072,"Increase rarity","희귀도 증가"
"RelicRewardRarity-description",4703584228212740,"Increase rarity of the relic reward","유물 보상의 희귀도가 증가합니다"
"InstantEncounter",1250240042106880,"Unlock instant encounter","즉시 조우 기능 해금"
"InstantEncounter-description",4703584228212741,"Unlocks instant encounter when touching battle point","배틀 포인트를 터치하여 즉시 몬스터와 조우할 수 있게 됩니다"
"InitialRelicSelect",1580000312033280,"Start game selected relic","초기 유물 선택"
"InitialRelicSelect-description",4703584232407040,"Able to choose one relic to start with.
As you level up this upgrade, the rarity of the relics you can choose from increases.","게임을 시작할 때 유물을 하나 선택해서 시작할 수 있게 됩니다.
레벨이 오를 수록 선택할 수 있는 유물의 희귀도가 증가합니다."
"TerritoryLevel",4096865072578560,"Territory Level","영지 레벨"
"TerritoryLevel-description-0",4096906654908416,"A blacksmith who sells equipment visits.","장비를 판매하는 대장장이가 방문합니다"
"TerritoryLevel-description-1",4097115694825472,"The codex feature is unlocked.","도감 기능이 해금됩니다"
"TerritoryLevel-description-2",4097505333084160,"The relic feature is unlocked.
An astrologer who sells relics will visit.","유물 기능이 해금됩니다.
유물을 판매하는 점성술사가 방문합니다."
"TerritoryLevel-description-3",4098827100880896,"A training instructor who can strengthen your basic stats will visit you.","기본 스탯을 강화할 수 있는 훈련교관이 방문합니다"
"TerritoryLevel-description-4",4783163525562368,"A worker who opens up a shortcut visits","지름길을 개방해주는 인부가 방문합니다"
"TerritoryLevel-description-5",4783667341164544,"The library will be open, which will give you the ability to proportion to the collection of drawings","수집한 도감에 비례한 능력을 주는 도서관이 개방됩니다"
"LibraryManagement",9053345701953536,"Library Level","도서관 레벨"
"LibraryManagement-description",9053698983985152,"The amount of ability proportional to the collections increases","수집한 도감에 비례한 능력의 수치가 증가합니다"
