Key,Id,English(en),Korean (South Korea)(ko-KR)
"0",10072096768,"Wooden Sword","목검"
"0-description",,"A wooden sword. It's not very effective, but it's better than nothing.","나무로 만든 칼. 효과는 별로 없지만 적어도 뭐라도 있다."
"1",37095997440,"Basic Sword","기본 검"
"1-description",,"The easiest textbook weapon to make.","가장 쉽게 만들 수 있는 교과서적인 무기."
"2",42112385024,"Rusted Axe","녹슨 도끼"
"2-description",,"An old axe that shows signs of use.","사용감이 느껴지는 오래된 도끼."
"3",53919350784,"Broken Gladius","부서진 글라디우스"
"3-description",,"",""
"4",57681641472,"Durandal","듀란달"
"4-description",,"",""
"5",61318103040,"Green Dragon Blade","청룡도"
"5-description",,"",""
"6",64686129152,"Muramasa","무라마사"
"6-description",,"",""
"7",77847855104,"Jamadhars","자마다르"
"7-description",,"",""
"8",84055425024,"Vajra","바즈라"
"8-description",,"",""
"9",87440228352,"Gungnir","궁니르"
"9-description",,"",""
"10",91751972864,"Chakram","차크람"
"10-description",,"",""
"11",3598550827008,"Hero's Gladius","영웅의 글라디우스"
"11-description",,"",""
"12",27974992018276352,"Weapon 12","무기 12"
"12-description",,"",""
"13",27974996535541760,"Weapon 13","무기 13"
"13-description",,"",""
"14",27975001157664768,"Weapon 14","무기 14"
"14-description",,"",""
"15",27975004001402880,"Weapon 15","무기 15"
"15-description",,"",""
"16",27975007826608128,"Weapon 16","무기 16"
"16-description",,"",""
"17",27975067838709760,"Weapon 17","무기 17"
"17-description",,"",""
"18",27975104140410880,"Weapon 18","무기 18"
"18-description",,"",""
"19",27975112306720768,"Weapon 19","무기 19"
"19-description",,"",""
"20",27975118539456512,"Weapon 20","무기 20"
"20-description",,"",""
"21",27975124356956160,"Weapon 21","무기 21"
"21-description",,"",""
"22",27975126932258816,"Weapon 22","무기 22"
"22-description",,"",""
"23",27979738615644160,"Weapon 23","무기 23"
"23-description",,"",""
